ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
-0.027832,0.0449219,1.01562,0.0610352,0,0,-112,316,-660,1.86768,1.75781,-21.2805,0.932129,0.33252,-0.226562,0,0.183105,-0.183105,-90,-169,339,124.882,-67.2089,123.525,0.978027,-0.0581055,-0.141113,0.0610352,0,-0.0610352,-308,17,266,-159.879,-80.9857,69.1534,
-0.027832,0.0727539,1.03223,0.793457,-0.366211,-1.15967,-112,315,-659,1.87317,1.75781,-21.2915,0.932617,0.349609,-0.222168,-0.610352,-0.0610352,0.732422,-89,-169,338,124.865,-67.2089,123.541,0.976562,-0.0698242,-0.133789,0.12207,0.488281,0.366211,-307,18,267,-159.846,-80.9857,69.1205,
-0.0219727,0.145996,1.06006,1.34277,-0.671387,-4.08936,-112,316,-660,1.89514,1.74683,-21.33,0.930176,0.408691,-0.21875,-2.62451,-0.244141,3.54004,-90,-172,337,124.849,-67.2089,123.552,0.999512,-0.0722656,-0.110352,0.854492,2.44141,2.62451,-308,19,266,-159.648,-81.0022,68.9172,
-0.0151367,0.208008,1.07422,1.77002,-1.2207,-8.97217,-111,316,-661,1.93359,1.73584,-21.4288,0.947754,0.481445,-0.190918,-5.00488,-0.610352,8.72803,-90,-171,337,124.821,-67.2308,123.547,1.01855,-0.0410156,-0.110352,0.610352,5.5542,4.21143,-309,20,264,-159.159,-81.0571,68.4448,
-0.0200195,0.204102,1.08154,-0.854492,-0.549316,-14.8315,-112,316,-660,1.95557,1.72485,-21.5991,0.95752,0.507812,-0.167969,-7.32422,-0.793457,12.6953,-89,-170,336,124.794,-67.3132,123.497,1.04248,0.012207,-0.144043,-1.64795,9.58252,7.26318,-308,17,265,-158.467,-81.1615,67.7802,
-0.0410156,0.187012,1.07227,-1.2207,-0.366211,-18.8599,-112,316,-660,1.96106,1.72485,-21.7529,0.966309,0.520508,-0.168457,-13.0005,-1.34277,17.0898,-90,-171,337,124.783,-67.4506,123.349,1.05029,0.0366211,-0.19043,-3.66211,11.7798,9.94873,-310,18,264,-157.588,-81.2769,66.9177,
-0.0668945,0.175781,1.01562,-0.854492,-0.305176,-21.5454,-112,314,-659,1.97205,1.72485,-22.0166,0.938965,0.487305,-0.17627,-16.7847,-2.86865,18.8599,-91,-171,339,124.81,-67.6099,123.102,1.01514,-0.015625,-0.209961,-6.46973,12.2681,14.4043,-311,18,265,-156.808,-81.3318,66.1102,
-0.065918,0.172363,0.980957,-0.915527,-0.12207,-22.7661,-111,314,-660,1.98853,1.73584,-22.3187,0.90918,0.41748,-0.198242,-18.7988,-5.49316,19.3481,-89,-172,340,124.876,-67.7087,122.844,0.990723,-0.0493164,-0.17627,-5.43213,12.3291,17.2119,-312,16,264,-155.209,-81.3867,64.4238,
-0.0600586,0.138672,0.989258,-2.19727,1.0376,-22.4609,-111,313,-660,1.99951,1.76331,-22.6263,0.914062,0.333984,-0.198242,-13.6108,-7.14111,21.9116,-89,-172,338,125.14,-67.879,122.294,0.979004,-0.0615234,-0.155762,-4.3335,11.9629,18.7378,-311,18,266,-153.226,-81.4197,62.3474,
-0.0375977,0.0874023,0.986816,-3.60107,1.95312,-22.0947,-112,312,-660,1.98303,1.80725,-22.9285,0.927734,0.29834,-0.210449,-7.08008,-8.66699,23.9868,-89,-171,338,125.662,-68.0878,121.558,0.977051,-0.0683594,-0.125488,-2.44141,11.4746,20.0806,-312,19,264,-151.018,-81.4362,60.0677,
-0.0170898,0.0327148,0.978027,-5.18799,3.60107,-22.7661,-112,312,-660,1.94458,1.86768,-23.2306,0.938477,0.291992,-0.217285,-3.41797,-8.91113,25.1465,-90,-170,338,126.392,-68.3075,120.69,0.98584,-0.0742188,-0.121094,-1.64795,11.2305,20.874,-313,19,264,-148.705,-81.4307,57.7002,
-0.0200195,-0.00146484,0.989746,-7.26318,4.88281,-22.8271,-111,311,-659,1.89514,1.91711,-23.4338,0.948242,0.279297,-0.228516,-2.13623,-9.15527,26.001,-91,-171,338,127.233,-68.5437,119.751,0.97998,-0.074707,-0.131836,-2.13623,11.0474,21.1182,-314,18,264,-146.398,-81.4032,55.3326,
-0.0341797,-0.0419922,0.998535,-9.64355,4.88281,-20.9351,-111,311,-660,1.79077,2.005,-23.736,0.939453,0.233398,-0.249023,-2.86865,-9.0332,24.7192,-92,-171,339,128.117,-68.7689,118.762,0.961914,-0.0966797,-0.13623,-3.11279,10.437,20.2637,-317,19,262,-144.904,-81.3702,53.7836,
-0.0385742,-0.0893555,0.984375,-10.1318,3.23486,-19.3481,-111,311,-660,1.65344,2.07642,-24.0051,0.922852,0.178711,-0.256836,-4.02832,-8.42285,21.9116,-90,-170,342,128.705,-68.9172,118.092,0.940918,-0.117188,-0.127441,-3.41797,8.72803,17.9443,-315,20,261,-142.806,-81.3043,51.5863,
