ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
1.03809,-0.111816,-0.179199,0,0.793457,-0.305176,-312,-36,127,-149.293,-77.8766,14.837,0.201172,-0.0620117,0.97168,0.183105,0.12207,0,71,93,367,-3.32336,-11.5631,-91.5271,0.893555,-0.434082,-0.0712891,0,-0.0610352,-0.12207,-89,-20,195,-99.9316,-64.1052,-7.28394,0.791504,-0.614746,-0.189941,0,-0.183105,-0.0610352,-101,450,186,-107.133,-51.059,81.6064,
1.04102,-0.11377,-0.178223,-0.305176,0.610352,0.244141,-313,-34,126,-149.244,-77.8876,14.7876,0.193359,-0.0634766,0.970215,0.12207,0.183105,0,71,93,367,-3.32336,-11.5576,-91.5271,0.894531,-0.430176,-0.0566406,-0.366211,-0.488281,0.183105,-88,-19,194,-99.9261,-64.1052,-7.29492,0.788574,-0.617676,-0.187012,0,-0.671387,0.0610352,-101,450,185,-107.139,-51.059,81.6229,
1.04102,-0.115234,-0.18457,0.427246,1.2207,0.427246,-313,-36,126,-149.183,-77.9041,14.7272,0.166016,-0.0683594,0.977051,0.610352,0,-0.244141,71,93,367,-3.32336,-11.5411,-91.5216,0.889648,-0.430664,-0.0493164,-0.732422,-1.2207,0.854492,-87,-19,193,-99.9316,-64.0887,-7.28943,0.779785,-0.633789,-0.174316,0.671387,-2.13623,0.305176,-101,450,186,-107.166,-51.0425,81.6669,
1.03906,-0.124023,-0.193359,1.2207,2.2583,0.549316,-313,-35,124,-149.024,-77.9315,14.5624,0.166016,-0.0771484,0.985352,0.244141,-1.58691,-0.610352,71,93,367,-3.31787,-11.5302,-91.5271,0.888184,-0.461914,-0.0561523,1.70898,-2.01416,1.2207,-89,-18,197,-99.9426,-64.0558,-7.27844,0.804688,-0.592285,-0.181152,0.244141,-1.89209,-0.305176,-101,450,187,-107.183,-51.026,81.7053,
1.03223,-0.14209,-0.20166,3.05176,3.479,0.793457,-312,-35,124,-148.722,-77.9645,14.2383,0.20166,-0.0966797,1.00244,-0.305176,-2.56348,-0.305176,71,93,367,-3.33984,-11.5576,-91.5326,0.900879,-0.474609,-0.0742188,2.38037,-1.89209,-0.732422,-89,-17,200,-99.9481,-64.0228,-7.21802,0.814453,-0.595215,-0.182129,1.0376,-1.15967,-2.31934,-101,449,188,-107.216,-51.0425,81.7603,
1.0249,-0.150879,-0.199219,4.21143,2.2583,0.671387,-311,-34,123,-148.458,-77.981,13.9581,0.268555,-0.115723,1.02246,-1.28174,-3.05176,1.89209,71,93,367,-3.3783,-11.618,-91.5216,0.924316,-0.510254,-0.09375,4.57764,-1.2207,-5.24902,-87,-19,198,-99.9646,-64.0558,-7.13562,0.812012,-0.642578,-0.197754,2.13623,0,-5.18799,-101,449,187,-107.221,-51.1194,81.8042,
1.03174,-0.140137,-0.186035,4.08936,1.15967,0.915527,-310,-35,123,-148.145,-77.9919,13.656,0.278809,-0.106934,0.995117,0,-1.28174,4.39453,71,93,367,-3.43872,-11.7004,-91.4502,0.900879,-0.50293,-0.0991211,6.16455,0.0610352,-7.44629,-89,-22,197,-99.9426,-64.1162,-7.08618,0.781738,-0.645996,-0.214844,2.68555,1.09863,-7.20215,-101,449,187,-107.199,-51.2128,81.8317,
1.04102,-0.103516,-0.166992,1.34277,-0.183105,0.244141,-312,-35,122,-148.019,-77.9919,13.5516,0.244141,-0.0795898,0.971191,2.68555,0.488281,6.89697,71,93,367,-3.44971,-11.7279,-91.3239,0.878418,-0.471191,-0.0917969,6.46973,0.183105,-7.69043,-89,-22,196,-99.8767,-64.2261,-7.04773,0.785645,-0.623535,-0.199219,2.50244,1.52588,-7.75146,-100,449,187,-107.172,-51.3556,81.8591,
1.05371,-0.0712891,-0.188965,-0.610352,0,-0.0610352,-313,-36,123,-148.079,-78.0084,13.656,0.209961,-0.0522461,0.950195,0.0610352,0.366211,8.66699,71,93,367,-3.4552,-11.7334,-91.203,0.882324,-0.406738,-0.0776367,4.63867,0.0610352,-7.38525,-87,-21,196,-99.8328,-64.325,-7.01477,0.79248,-0.587402,-0.184082,1.0376,1.77002,-7.01904,-102,449,187,-107.155,-51.4655,81.8701,
1.04248,-0.0610352,-0.158203,-2.19727,2.50244,-0.366211,-313,-35,122,-148.151,-78.0634,13.7604,0.19043,-0.03125,0.946777,-2.0752,1.52588,8.60596,71,93,367,-3.49915,-11.7059,-91.0217,0.88623,-0.370117,-0.0722656,1.09863,-0.0610352,-6.7749,-89,-19,197,-99.8383,-64.4843,-6.94336,0.80127,-0.571777,-0.183105,-0.488281,1.70898,-5.92041,-102,447,188,-107.155,-51.5918,81.8756,
